userid,userid_enc
2,0
633,9
637,12
636,11
685,13
686,14
688,15
689,16
691,18
690,17
701,27
695,21
693,19
694,20
696,22
699,25
697,23
700,26
698,24
635,10
702,28
705,29
308,5
468,8
789,30
795,31
796,32
230,3
912,33
927,35
289,4
1056,37
1235,44
1233,43
1652,46
1789,47
1790,48
1791,49
1792,50
1793,51
1796,54
1797,55
1798,56
1799,57
1800,58
1801,59
1802,60
1804,62
1805,63
1808,66
1809,67
1811,69
1812,70
1813,71
1794,52
1795,53
1806,64
1803,61
1810,68
1807,65
2024,73
1617,45
1877,72
2130,77
2129,76
2132,79
2133,80
2128,75
2131,78
1084,38
1097,40
1100,41
1096,39
1104,42
2515,81
1009,36
917,34
222,2
2884,86
450,6
206,1
453,7
2891,87
2126,74
2893,88
3465,90
3466,91
2588,82
3479,92
3480,93
3464,89
3482,95
3484,96
3485,97
3481,94
3489,98
2868,84
2867,83
2869,85
3593,100
3592,99
3594,101
4113,102
